year,stream,reach,surveyor,date,visible_redds,total_features,correct_redds,omitted_redds,exp_sp_total,mean_width,mean_depth,mean_discharge,mean_thalweg_cv,reach_length_m,naive_density_km,exp_sp_total_log,net_error
2012,"NASON",N3,A,2012-05-11,75,57,49,26,49.7,17.1,58,1075,44.70881,6538,8.718262465585806,3.9259259105971376,0.76
2012,"NASON",N3,N,2012-05-12,83,67,57,26,30,17.1,58,1065,44.70881,6538,10.247782196390332,3.4339872044851463,0.8072289156626506
2010,PES,P1,M,2010-04-17,33,23,22,11,49.5,15.5,55.2,241.5,22.72461,5921.58,3.884098500737979,3.9219733362813143,0.696969696969697
2010,PES,P1,A,2010-04-17,33,26,24,9,46.7,15.5,55.2,241.5,22.72461,5921.58,4.390720044312498,3.8649313978942956,0.7878787878787878
2010,PES,P1,O,2010-04-17,33,15,15,18,19.1,15.5,55.2,241.5,22.72461,5921.58,2.533107717872595,3.0007198150650303,0.45454545454545453
2010,PES,P1,C,2010-04-17,35,20,20,15,25.9,15.5,55.2,241.5,22.72461,5921.58,3.3774769571634597,3.292126286607793,0.5714285714285714
2010,PES,P1,G,2010-04-18,33,20,16,17,26.3,15.5,55.2,320,22.72461,5921.58,3.3774769571634597,3.3068867021909143,0.6060606060606061
2010,PES,P1,B,2010-04-18,33,14,13,20,55,15.5,55.2,320,22.72461,5921.58,2.364233870014422,4.02535169073515,0.42424242424242425
2010,PES,P1,I,2010-04-18,33,21,15,18,9.3,15.5,55.2,320,22.72461,5921.58,3.546350805021633,2.33214389523559,0.6363636363636364
2010,PES,P1,P,2010-04-18,33,5,3,30,17.2,15.5,55.2,320,22.72461,5921.58,0.8443692392908649,2.9014215940827497,0.15151515151515152
2010,PES,P1,H,2010-05-07,29,30,16,13,29.4,15.5,55.2,267.5,22.72461,5921.58,5.06621543574519,3.414442608412176,1.0344827586206897
2011,PES,P1,T,2011-04-20,27,12,11,16,18,14,48.6,297,22.72461,5921.58,2.0264861742980758,2.9444389791664403,0.4444444444444444
2011,PES,P1,S,2011-04-20,27,16,13,14,3.1,14,48.6,297,22.72461,5921.58,2.701981565730768,1.410986973710262,0.5925925925925926
2011,PES,P1,C,2011-04-26,38,16,14,24,32.6,14,48.6,299,22.72461,5921.58,2.701981565730768,3.5145260669691587,0.42105263157894735
2011,PES,P1,K,2011-04-26,38,27,20,18,14.5,14,48.6,299,22.72461,5921.58,4.559593892170671,2.740840023925201,0.7105263157894737
2011,PES,P1,B,2011-04-29,41,16,16,25,56.4,14,48.6,318,22.72461,5921.58,2.701981565730768,4.050044303325521,0.3902439024390244
2011,PES,P1,A,2011-04-29,40,16,13,27,48.3,14,48.6,318,22.72461,5921.58,2.701981565730768,3.8979240810486444,0.4
2011,PES,P1,U,2011-05-02,41,15,14,27,5,14,48.6,340,22.72461,5921.58,2.533107717872595,1.791759469228055,0.36585365853658536
2011,PES,P1,M,2011-05-02,41,15,14,27,50.9,14,48.6,340,22.72461,5921.58,2.533107717872595,3.949318790171843,0.36585365853658536
2011,PES,P1,I,2011-05-05,41,24,18,23,11.7,14,48.6,362,22.72461,5921.58,4.0529723485961515,2.5416019934645457,0.5853658536585366
2011,PES,P1,G,2011-05-05,45,32,20,25,27.6,14,48.6,362,22.72461,5921.58,5.403963131461536,3.353406717825807,0.7111111111111111
2012,PES,P1,R,2012-04-18,20,12,9,11,15.1,14.5,48.2,396.5,21.74127,5921.58,2.0264861742980758,2.7788192719904172,0.6
2012,PES,P1,I,2012-05-10,10,11,1,9,12.4,14.5,48.2,488,21.74127,5921.58,1.857612326439903,2.5952547069568657,1.1
2012,PES,P1,M,2012-05-13,9,9,8,1,53.6,14.5,48.2,475,21.74127,5921.58,1.519864630723557,4.000033882750859,1
2010,WEN,W10,A,2010-04-24,78,58,45,33,46.7,47.5,102.6,2725,42.31903,7597.1,7.634492108831001,3.8649313978942956,0.7435897435897436
2010,WEN,W10,B,2010-04-25,71,35,27,44,55,47.5,102.6,2440,42.31903,7597.1,4.607021100156639,4.02535169073515,0.49295774647887325
2010,WEN,W10,C,2010-04-25,69,19,18,51,25.9,47.5,102.6,2440,42.31903,7597.1,2.500954311513604,3.292126286607793,0.2753623188405797
2010,WEN,W10,D,2010-04-26,71,70,41,30,34,47.5,102.6,2215,42.31903,7597.1,9.214042200313278,3.5553480614894135,0.9859154929577465
2010,WEN,W10,E,2010-04-26,69,28,25,44,15,47.5,102.6,2215,42.31903,7597.1,3.685616880125311,2.772588722239781,0.4057971014492754
2010,WEN,W10,F,2010-04-26,69,40,22,47,2,47.5,102.6,2215,42.31903,7597.1,5.265166971607587,1.0986122886681098,0.5797101449275363
2010,WEN,W10,G,2010-04-30,80,43,39,41,26.3,47.5,102.6,2150,42.31903,7597.1,5.660054494478156,3.3068867021909143,0.5375
2010,WEN,W10,H,2010-04-30,80,22,19,61,29.4,47.5,102.6,2150,42.31903,7597.1,2.8958418343841728,3.414442608412176,0.275
2010,WEN,W10,I,2010-05-06,103,34,30,73,9.3,47.5,102.6,1700,42.31903,7597.1,4.4753919258664485,2.33214389523559,0.3300970873786408
2010,WEN,W10,J,2010-05-06,103,67,47,56,5.5,47.5,102.6,1700,42.31903,7597.1,8.819154677442707,1.8718021769015913,0.6504854368932039
2010,WEN,W10,K,2010-05-06,104,72,61,43,8,47.5,102.6,1700,42.31903,7597.1,9.477300548893657,2.1972245773362196,0.6923076923076923
2010,WEN,W9,D,2010-04-19,64,62,40,24,34,47,66.8,1675,36.58719,17454.74,3.5520437428457825,3.5553480614894135,0.96875
2010,WEN,W9,A,2010-04-20,58,19,12,46,46.7,47,66.8,2915,36.58719,17454.74,1.088529534097901,3.8649313978942956,0.3275862068965517
2010,WEN,W9,M,2010-04-20,58,15,9,49,49.5,47,66.8,2915,36.58719,17454.74,0.8593654216562377,3.9219733362813143,0.25862068965517243
2010,WEN,W9,B,2010-04-24,67,20,11,56,55,47,66.8,3755,36.58719,17454.74,1.145820562208317,4.02535169073515,0.29850746268656714
2010,WEN,W9,N,2010-04-25,67,37,12,55,17.7,47,66.8,3450,36.58719,17454.74,2.119768040085386,2.928523523860541,0.5522388059701493
2010,WEN,W9,K,2010-04-26,67,26,18,49,8,47,66.8,3275,36.58719,17454.74,1.489566730870812,2.1972245773362196,0.3880597014925373
2010,WEN,W9,H,2010-04-27,78,20,13,65,29.4,47,66.8,3125,36.58719,17454.74,1.145820562208317,3.414442608412176,0.2564102564102564
2010,WEN,W9,D,2010-05-12,74,79,52,22,34,47,66.8,2625,36.58719,17454.74,4.525991220722852,3.5553480614894135,1.0675675675675675
2011,WEN,W9,R,2011-05-04,48,17,17,31,14.6,64.3,86,1970,36.58719,17454.74,0.9739474778770695,2.747270914255491,0.3541666666666667
2011,WEN,W9,T,2011-05-08,53,20,16,37,18,64.3,86,2525,36.58719,17454.74,1.145820562208317,2.9444389791664403,0.37735849056603776
2011,WEN,W9,C,2011-05-08,52,22,19,33,32.6,64.3,86,2525,36.58719,17454.74,1.2604026184291486,3.5145260669691587,0.4230769230769231
2011,WEN,W9,H,2011-05-10,57,22,13,44,29.8,64.3,86,2975,36.58719,17454.74,1.2604026184291486,3.427514689979529,0.38596491228070173
2011,WEN,W9,G,2011-05-10,57,10,7,50,27.6,64.3,86,2975,36.58719,17454.74,0.5729102811041585,3.353406717825807,0.17543859649122806
2011,WEN,W9,B,2011-05-11,52,12,9,43,56.4,64.3,86,3500,36.58719,17454.74,0.6874923373249902,4.050044303325521,0.23076923076923078
2011,WEN,W9,M,2011-05-11,54,26,20,34,50.9,64.3,86,3500,36.58719,17454.74,1.489566730870812,3.949318790171843,0.48148148148148145
2011,WEN,W9,I,2011-05-11,52,12,8,44,11.7,64.3,86,3500,36.58719,17454.74,0.6874923373249902,2.5416019934645457,0.23076923076923078
2012,WEN,W9,R,2012-05-08,23,14,5,18,15.1,65.8,72.1,4060,46.66502,17454.74,0.8020743935458219,2.7788192719904172,0.6086956521739131
2012,WEN,W9,H,2012-05-11,20,3,1,19,30.4,65.8,72.1,4720,46.66502,17454.74,0.17187308433124754,3.4468078929142076,0.15
2012,WEN,W9,M,2012-05-12,24,29,19,5,53.6,65.8,72.1,4520,46.66502,17454.74,1.6614398152020595,4.000033882750859,1.2083333333333333
